Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A01, 15.9 ,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,Kfz,"10,551","11,058","10,095","10,822","12,251","10,466","8,834","3,2% Tage geschätzt",
A01, 15.9 ,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",166,217,244,226,177,64,57,Messung,
A01, 15.9 ,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","10,385","10,841","9,851","10,596","12,074","10,402","8,777","3,2% Tage geschätzt",
A01, 15.9 ,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,Kfz,"10,823","11,207","10,788","11,218","11,431","10,282","9,840",Messung,
A01, 15.9 ,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz > 3,5t hzG",195,256,249,275,210,93,49,Messung,
A01, 15.9 ,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz <= 3,5t hzG","10,628","10,951","10,539","10,943","11,221","10,189","9,791",Messung,
A01, 15.9 ,Pressbaum,955,gesamt,gesamt,Kfz,"21,374","22,265","20,883","22,040","23,682","20,748","18,674","3,2% Tage geschätzt",
A01, 15.9 ,Pressbaum,955,gesamt,gesamt,"Kfz > 3,5t hzG",361,473,493,501,387,157,106,Messung,
A01, 15.9 ,Pressbaum,955,gesamt,gesamt,"Kfz <= 3,5t hzG","21,013","21,792","20,390","21,539","23,295","20,591","18,568","3,2% Tage geschätzt",
A01, 26.8 ,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,Kfz,"9,723","10,144","9,192","9,872","11,423","9,540","8,373",Messung,
A01, 26.8 ,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",196,258,283,271,212,67,61,Messung,
A01, 26.8 ,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","9,527","9,886","8,909","9,601","11,211","9,473","8,312",Messung,
A01, 26.8 ,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,Kfz,"10,367","10,648","10,200","10,677","10,844","9,667","9,848","6,5% Tage geschätzt",
A01, 26.8 ,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz > 3,5t hzG",227,302,289,325,251,93,55,Messung,
A01, 26.8 ,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz <= 3,5t hzG","10,140","10,346","9,911","10,352","10,593","9,574","9,793","6,5% Tage geschätzt",
