Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte
A05,2.0,Eibesbrunn,35,gesamt,gesamt,"Kfz <= 3,5t hzG",31.524,33.586,32.843,33.251,34.901,31.732,24.169,Messung
A05,22.1,Schrick,390,Gaweinstal Nord - Schrick,Staatsgrenze Drasenhofen,Kfz,14.143,15.561,13.947,15.457,16.802,14.156,9.171,Messung
A05,22.1,Schrick,390,Gaweinstal Nord - Schrick,Staatsgrenze Drasenhofen,"Kfz > 3,5t hzG",1.818,2.366,1.809,2.439,2.511,1.311,239.0,Messung
A05,22.1,Schrick,390,Gaweinstal Nord - Schrick,Staatsgrenze Drasenhofen,"Kfz <= 3,5t hzG",12.325,13.195,12.138,13.018,14.291,12.845,8.932,Messung
A05,22.1,Schrick,390,Schrick - Gaweinstal Nord,Kn. Eibensbrunn,Kfz,14.373,15.309,17.108,15.191,14.535,13.527,11.665,Messung
A05,22.1,Schrick,390,Schrick - Gaweinstal Nord,Kn. Eibensbrunn,"Kfz > 3,5t hzG",1.761,2.36,3.627,2.457,1.349,681.0,381.0,Messung
A05,22.1,Schrick,390,Schrick - Gaweinstal Nord,Kn. Eibensbrunn,"Kfz <= 3,5t hzG",12.612,12.949,13.481,12.734,13.186,12.846,11.284,Messung
A05,22.1,Schrick,390,gesamt,gesamt,Kfz,28.517,30.87,31.056,30.648,31.336,27.683,20.836,Messung
A05,22.1,Schrick,390,gesamt,gesamt,"Kfz > 3,5t hzG",3.579,4.726,5.436,4.896,3.86,1.992,620.0,Messung
A05,22.1,Schrick,390,gesamt,gesamt,"Kfz <= 3,5t hzG",24.938,26.144,25.62,25.752,27.476,25.691,20.216,Messung
A05,26.9,Kettlasbrunn,437,Mistelbach Süd - Mistelbach Ost / Wilfersdorf,Staatsgrenze Drasenhofen,Kfz,9.884,10.651,9.065,10.465,12.083,10.777,6.607,Messung
A05,26.9,Kettlasbrunn,437,Mistelbach Süd - Mistelbach Ost / Wilfersdorf,Staatsgrenze Drasenhofen,"Kfz > 3,5t hzG",1.69,2.181,1.597,2.249,2.356,1.279,243.0,Messung
A05,26.9,Kettlasbrunn,437,Mistelbach Süd - Mistelbach Ost / Wilfersdorf,Staatsgrenze Drasenhofen,"Kfz <= 3,5t hzG",8.194,8.47,7.468,8.216,9.727,9.498,6.364,Messung
A05,26.9,Kettlasbrunn,437,Mistelbach Ost / Wilfersdorf - Mistelbach Süd,Kn. Eibensbrunn,Kfz,10.172,10.425,11.944,10.284,9.879,10.312,9.193,"32,3% Tage geschätzt"
A05,26.9,Kettlasbrunn,437,Mistelbach Ost / Wilfersdorf - Mistelbach Süd,Kn. Eibensbrunn,"Kfz > 3,5t hzG",1.61,2.147,3.397,2.234,1.171,644.0,372.0,Messung
A05,26.9,Kettlasbrunn,437,Mistelbach Ost / Wilfersdorf - Mistelbach Süd,Kn. Eibensbrunn,"Kfz <= 3,5t hzG",8.562,8.278,8.547,8.05,8.708,9.668,8.821,"32,3% Tage geschätzt"
A05,26.9,Kettlasbrunn,437,gesamt,gesamt,Kfz,20.056,21.076,21.009,20.749,21.962,21.089,15.8,"32,3% Tage geschätzt"
A05,26.9,Kettlasbrunn,437,gesamt,gesamt,"Kfz > 3,5t hzG",3.3,4.328,4.994,4.483,3.527,1.923,615.0,Messung
A05,26.9,Kettlasbrunn,437,gesamt,gesamt,"Kfz <= 3,5t hzG",16.756,16.748,16.015,16.266,18.435,19.166,15.185,"32,3% Tage geschätzt"
A05,30.9,Wilfersdorf,21,Mistelbach Ost/Wilfersdorf - Poysdorf Süd,Staatsgrenze Drasenhofen,Kfz,8.142,8.548,6.841,8.376,10.018,9.41,5.88,Messung
A05,30.9,Wilfersdorf,21,Mistelbach Ost/Wilfersdorf - Poysdorf Süd,Staatsgrenze Drasenhofen,"Kfz > 3,5t hzG",1.585,2.033,1.428,2.091,2.245,1.262,232.0,Messung
